AC | Ampla concorrência
REGIONAL | terão direito ao bônus de inclusão regional (acréscimo de dez por cento à nota final do ENEM) aqueles que tenham cursado a totalidade dos anos do Ensino Médio em escolas (públicas ou privadas) das Regiões Geográficas Intermediárias nas quais a UNIVASF possui campus nos termos do Edital PS-ICG 2022
REGIONAL | ¿   CANDIDATOS COM DEFICIÊNCIA, OU FILHOS DE POLICIAIS CIVIS, MILITARES, BOMBEIROS MILITARES, INSPETORES DE SEGURANÇA E ADMINISTRAÇÃO PENITENCIÁRIA, MORTOS OU INCAPACITADOS EM RAZÃO DO SERVIÇOREGIONAL
RENDA + EP | (as) com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, que tenham cursado integralmente o ensino médio em escolas públicas brasileiras. (L1)
RENDA + EP | A3 - Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica
RENDA + EP | A3 - Carente Socioeconômico e da Rede Pública
RENDA + EP | A3 - Carente Socioeconômico e oriundo da Rede Pública de ensino
RENDA + EP | A3- Carente Socioeconômico e oriundo da Rede Pública de ensino
RENDA + EP | AF3: Pessoas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5) e que não estejam concorrendo na forma das Ações Afirmativas 1 e 2.
RENDA + EP | Ação Afirmativa 3 - Pessoas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5) e que não estejam concorrendo na forma das Ações Afirmativas 1 e 2.
RENDA + EP | Ação Afirmativa 3: 45% (quarenta e cinco por cento) para pessoas que tenham estudado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita de até um salário-mínimo e meio (1,5) e que não estejam concorrendo na forma das ações Afirmativas 1 e 2.
RENDA + EP | Ação Afirmativa 3: Para pessoas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita mensal de até um salário-mínimo e meio (1,5) e que não estejam concorrendo na forma das ações Afirmativas 1 e 2.
RENDA + EP | Candidato (s) A3 - Carente Socioeconômico e oriundo da Rede Pública de ensino
RENDA + EP | Candidato (s) que tenham cursado na rede pública todo o ensino médio e com comprovação de carência socioeconômica
RENDA + EP | Candidato (s) que tenham cursado, na rede pública, os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica
RENDA + EP | Candidatos A3 - Carente Socioeconômico e da Rede Pública
RENDA + EP | Candidatos A3 - Carente Socioeconômico e oriundo da Rede Pública de ensino
RENDA + EP | Candidatos com renda familiar bruta per capita igual ou inferior a 1 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
RENDA + EP | Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
RENDA + EP | Candidatos EEP - Egresso da escola pública, de baixa renda:
RENDA + EP | Candidatos Egressos da Escola Pública, de baixa renda:
RENDA + EP | Candidatos egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, devendo essa condição ser comprovada no ato da matrícula.
RENDA + EP | Candidatos que se declararem não-negros e que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)
RENDA + EP | Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica
RENDA + EP | Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica.
RENDA + EP | Categoria V - Outros candidatos de baixa renda e egressos de escola pública
RENDA + EP | com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, que tenham cursado integralmente o ensino médio em escolas públicas. (L1)
RENDA + EP | EEP - Egresso da escola pública, de baixa renda
RENDA + EP | EEP - Egresso da escola pública, de baixa renda:
RENDA + EP | egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, devendo essa condição ser comprovada no ato da matrícula.
RENDA + EP | L1 - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)
RENDA + EP | que tenham cursado integralmente o ensino médio em escolas públicas, que não tenham se declarado pretos, pardos ou indígenas, nos termos da legislação, e que comprovem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita.
RENDA + EP | que tenham cursado na rede pública todo o ensino médio e com comprovação de carência socioeconômica
RENDA | Candidato (s) economicamente hipossuficientes
SURDO | Candidato (s) deficientes auditivos especificamente no curso de Letras-Libras.
SURDO | Candidato (s) surdos
SURDO | Candidatos Candidatos Candidato (s) Surdos Vagas reservadas
SURDO | Candidatos(as) surdos(as) especificamente no curso de Letras-Libras
SURDO | Cinquenta por cento das vagas da Ampla Concorrência são destinadas para candidatos comprovadamente surdos, de acordo com a legislação vigente, desde que seja apresentada a comprovação via documentação médica, elaborada por instituição pública ou privada, com laudo vigente em até 12 meses de antecedência em relação à data de matrícula. Não havendo o preenchimento total da reserva para Candidatos Surdos, as vagas remanescentes serão disponibilizadas para Ampla Concorrência.
SURDO | com deficiência auditiva especificamente no curso de Letras - Libras
SURDO | com deficiência auditiva especificamente no curso de Letras-Libras
SURDO | comprovadamente surdos, de acordo com a legislação vigente. Tipo de vaga exclusiva para o Curso de Letras  Libras
SURDO | comprovadamente surdos, de acordo com a legislação vigente. Tipo de vaga exclusiva para o Curso de Letras Libras
SURDO | comprovadamente surdos, de acordo com a legislação vigente. Tipo de vaga exclusiva para o Curso de Letras ¿ Libras
SURDO | Surdos
SURDO | surdos que optarem pelas vagas destinadas à ampla concorrência terão bonificação de 20% na pontuação final do Exame Nacional do Ensino Médio (ENEM).
SURDO | Surdos(as)
TRANS + EP | transexuais, travestis e transgêneros, que tenham cursado integralmente o ensino médio em escolas públicas.
TRANS + RENDA + EP | Candidatos Transexuais, travestis e transgêneros que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
TRANS + RENDA + EP | Candidatos Transsexuais, Travestis e Transgêneros que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)
TRANS + RENDA + EP | transexuais, travestis e transgêneros que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
TRANS | - Candidatos Trans (transexuais, travestis e transgêneros) e que não tenham concluído curso de graduação.
TRANS | Candidatos Transsexuais, Travestis ou Transgêneros
TRANS | Pessoas Transgêneras em situação de Vulnerabilidade Econômica
TRANS | Pessoas Transgêneras em situação de Vulnerabilidade Econômica.
TRANS | Pessoas Transgêneras, independentemente de renda familiar
TRANS | Trans (transexuais, travestis e transgêneros) e que não tenham concluído curso de graduação.
TRANS | Transexuais, Travestis e Transgêneros
